SP ID	Occupation
1260	oncle paternel de la princesse Sophie
1261	librarian
1261	antiquarian
1261	academy member
1262	minster
1262	politician
1262	diplomat
1263	architect
1263	structural engineer
1263	engineer
1264	writer
1264	clergy
1265	monarch
1266	son of a general
1267	manufacturing
1268	mistress
1270	wife
1271	architect
1272	courtier
1273	courtier
1274	artist
1274	painter
1275	artist
1275	painter
1276	clergy
1277	academy member
1277	poet
1277	author
1277	art critic
1278	university professor
1278	academic
1278	teacher
1278	schoolmaster
1279	salonnière
1279	hostess
1280	physician
1280	chemist
1280	journalist
1281	salon hostess
1282	chemist
1283	scientist
1283	entomologist
1283	astronomer
1283	academy member
1284	aristocrat
1285	portraitist to the king
1286	monarch
1287	aristocrat
1288	aristocrat
1289	government minister
1290	academy member
1290	preacher
1290	priest
1290	poet
1290	author
1291	author
1291	playwright
1292	aristocrat
1293	academy member
1293	author
1294	aristocrat
1295	diplomat
1295	government minister
1295	bibliophile
1296	scholar
1296	playwright
1297	officer
1298	lawyer
1300	captain
1306	clergy
1307	fermier général et actionnaire de la Manufacture de Vincennes
1310	doctor
1317	architect
1319	aristocrat
1320	aristocrat
1321	librettist
1321	poet
1321	librarian
1322	engineer
1323	maréchal
1324	général
1324	maréchal
1326	clergy
1327	librarian
1327	writer
1327	author
1328	playwright
1334	unknown
1336	aristocrat
1336	Major General
1338	painter
1339	aristocrat
1340	aristocrat
1344	general
1344	army officer
1344	diplomat
1344	soldier
1345	author
1345	philosopher
1346	academy member
1347	aristocrat
1347	salon hostess
1348	government minister
1349	aristocrat
1349	government minister
1350	academy member
1350	poet
1350	author
1350	philosopher
1351	politician
1351	academy member
1352	poet
1352	author
1352	playwright
1352	musician
1353	aristocrat
1354	actress
1355	author
1355	playwright
1356	diplomat
1356	aristocrat
1357	politician
1357	radical
1358	writer
1358	academy member
1359	author
1359	philosopher
1359	encyclopedist
1360	diplomat
1360	wit
1361	historian
1361	journalist
1362	general
1362	army officer
1362	soldier
1362	author
1363	politician
1363	revolutionary
1364	salonnière
1364	hostess
1365	writer
1365	novelist
1365	salonnière
1365	hostess
1366	writer
1366	novelist
1369	soldier
1369	diplomat
1370	foreign minister
1372	author
1374	composer
1374	writer
1376	writer
1377	aristocrat
1378	aristocrat
1383	writer
1385	novelist
1385	poet
1387	actor
1388	aristocrat
1389	aristocrat
1390	aristocrat
1391	aristocrat
1392	aristocrat
1393	writer
1393	aristocrat
1394	writer
1395	writer
1395	scholar
1395	translator
1396	Jesuit
1396	essayist
1396	grammarian
1397	aristocrat
1397	writer
1397	historian
1398	clergy
1399	Jesuit
1400	clergy
1401	clergy
1402	author
1402	army officer
1402	academy member
1403	academy member
1404	clergy
1405	soldier
1405	orientalist
1405	professor
1405	academy member
1406	writer
1406	clergy
1406	professor
1406	academy member
1407	clergy
1407	professor
1407	academy member
1407	royal librarian
1408	clergy
1408	writer
1408	academy member
1409	clergy
1409	academy member
1410	lawyer
1410	author
1410	academy member
1411	writer
1411	academy member
1412	French admiral
1412	writer
1412	academy member
1413	aristocrat
1413	army officer
1414	aristocrat
1414	army officer
1415	aristocrat
1415	academy member
1416	aristocrat
1416	army officer
1417	aristocrat
1417	army officer
1418	aristocrat
1418	army officer
1418	son of Mazarin
1419	colonel
1419	aristocrat
1419	ambassador
1420	aristocrat
1420	army officer
1421	author
1422	poet
1422	army officer
1422	academy member
1423	playwright
1423	academy member
1424	academy member
1424	tutor
1425	academy member
1425	clergy
1425	journalist
1425	aristocrat
1426	civil servant
1426	police official
1427	aristocrat
1428	diplomat
1428	author
1428	patron
1429	statesman
1430	aristocrat
1431	scientist
1431	author
1431	botanist
1432	army officer
1432	soldier
1432	academy member
1432	author
1432	military writer
1433	author
1433	salon hostess
1434	army officer
1434	soldier
1434	politician
1435	judge
1435	diplomat
1435	governor
1435	provincial governor
1436	aristocrat
1437	aristocrat
1438	aristocrat
1439	aristocrat
1440	aristocrat
1441	aristocrat
1442	aristocrat
1443	aristocrat
1444	art collector
1445	diplomat
1446	academy member
1446	poet
1446	author
1446	critic
1447	politician
1448	historian
1448	philosopher
1449	politician
1450	general
1450	army officer
1450	soldier
1450	politician
1450	aristocrat
1450	revolutionary
1452	archevêque
1453	archbishop
1453	cardinal
1453	ambassador
1454	bishop
1454	cardinal
1454	academy member
1455	soldier
1455	officer
1456	Deffand's aunt
1457	politician
1457	revolutionary
1457	mathematician
1458	politician
1458	journalist
1458	revolutionary
1459	politician
1459	poet
1459	author
1459	playwright
1459	revolutionary
1460	statesman
1460	author
1460	orator
1461	actor
1461	playwright
1462	politician
1462	author
1462	novelist
1462	medievalist
1463	salon hostess
1465	actress
1466	aristocrat
1468	clergy
1470	aristocrat
1471	aristocrat
1472	author
1472	salon hostess
1473	author
1473	essayist
1473	philosopher
1474	author
1474	playwright
1474	critic
1475	journalist
1475	poet
1475	author
1475	playwright
1476	politician
1476	scientist
1477	academy member
1477	physician
1477	doctor
1477	scientist
1477	botanist
1478	general
1478	army officer
1478	soldier
1479	army officer
1479	soldier
1479	adventurer
1480	adventurer
1481	courtier
1481	army officer
1481	diplomat
1481	soldier
1482	poet
1482	author
1482	conversationalist
1483	statesman
1484	politician
1484	aristocrat
1485	author
1485	playwright
1485	songwriter
1488	politician
1488	aristocrat
1489	librettist
1489	playwright
1489	aristocrat
1490	clergy
1494	playwright
1495	clergy
1497	aristocrat
1497	nephew of Madame de Tencin
1498	aristocrat
1499	aristocrat
1500	aristocrat
1501	aristocrat
1502	aristocrat
1503	aristocrat
1504	aristocrat
1505	aristocrat
1506	aristocrat
1507	clergy
1508	aristocrat
1509	aristocrat
1510	bishop
1511	aristocrat
1512	cardinal
1514	aristocrat
1515	aristocrat
1516	aristocrat
1517	aristocrat
1518	aristocrat
1519	aristocrat
1520	aristocrat
1521	writer
1522	writer
1522	socialite
1522	préciseuse
1523	Composer
1524	aristocrat
1524	socialite
1524	préciseuse
1525	aristocrat
1525	socialite
1525	préciseuse
1526	aristocrat
1526	socialite
1526	préciseuse
1527	aristocrat
1527	socialite
1527	préciseuse
1528	aristocrat
1528	socialite
1528	préciseuse
1529	aristocrat
1529	socialite
1529	préciseuse
1530	aristocrat
1530	socialite
1530	préciseuse
1531	aristocrat
1531	socialite
1531	préciseuse
1532	aristocrat
1532	socialite
1532	préciseuse
1533	aristocrat
1533	socialite
1533	préciseuse
1534	aristocrat
1534	socialite
1534	préciseuse
1534	writer
1553	writer
1553	novelist
1555	wife
1557	Composer
1560	bishop
1560	poet
1563	writer
1564	aristocrat
1565	aristocrat
1566	poet
1566	novelist
1566	dramatist
1567	aristocrat
1567	socialite
1567	préciseuse
1568	aristocrat
1568	socialite
1568	préciseuse
1569	aristocrat
1569	socialite
1569	préciseuse
1570	aristocrat
1570	socialite
1570	préciseuse
1571	clergy
1571	writer
1571	moralist
1572	writer
1574	writer
1575	economist
1575	mathematician
1576	politician
1576	author
1576	novelist
1576	political writer
1581	Botanist
1582	lawyer
1582	politician
1583	poet
1583	politician
1588	aristocrat
1588	soldier
1588	diplomat
1589	politician
1589	minster
1589	soldier
1589	academy member
1593	politician
1595	Singer
1596	Writer
1600	politician
1600	writer
1600	professor
1600	academy member
1601	man of letters
1601	playwright
1602	clergy
1602	diplomat
1604	monarch
1605	philosopher
1605	general
1605	politician
1605	academy member
1606	philosopher
1608	politician
1608	writer
1608	academy member
1609	monarch
1609	military officer
1609	academy member
1611	soldier
1611	politician
1612	journalist
1612	revolutionary
1612	writer
1613	monarch
1614	salonnière
1614	hostess
1615	economist
1615	writer
1617	painter
1617	draftsman
1621	politician
1623	salonnière
1623	hostess
1627	playwright
1627	poet
1629	monarch
1630	general
1630	diplomat
1631	aristocrat
1631	daughter
1632	diplomat
1632	politician
1632	poet
1632	author
1633	academy member
1633	scientist
1633	antiquarian
1634	diplomat
1634	politician
1635	churchman
1636	statesman
1636	churchman
1637	poet
1637	author
1638	judge
1639	academy member
1640	mistress
1640	aristocrat
1641	mistress
1642	writer
1643	aristocrat
1643	best friend of the Regent
1644	aristocrat
1644	sister of the comte de Nocé
1645	aristocrat
1645	field marshal
1645	diplomat
1646	diplomat
1647	aristocrat
1648	playwright
1648	librettist
1649	aristocrat
1650	aristocrat
1651	clergy
1651	aumônier de M. l'archevêque d'Embrun
1652	clergy
1652	professor
1653	aristocrat
1654	aristocrat
1655	avocat général de la Cour des Àydes
1656	clergy
1657	clergy
1658	tax administrator
1658	receveur général des finances
1659	politician
1660	politician
1661	aristocrat
1662	clergy
1663	writer
1663	academy member
1665	physician
1665	doctor
1666	lawyer
1666	academy member
1666	playwright
1667	economist
1667	aristocrat
1668	academy member
1668	scientist
1668	astronomer
1668	physicist
1669	aristocrat
1670	aristocrat
1671	aristocrat
1672	aristocrat
1673	aristocrat
1674	aristocrat
1675	aristocrat
1676	aristocrat
1677	aristocrat
1678	aristocrat
1679	aristocrat
1681	aristocrat
1681	politician
1682	aristocrat
1683	archevêque
1684	aristocrat
1685	aristocrat
1686	Evêque de Carcassonne
1687	doctor
1688	aristocrat
1689	aristocrat
1690	aristocrat
1691	aristocrat
1692	aristocrat
1693	aristocrat
1694	aristocrat
1695	aristocrat
1696	aristocrat
1697	aristocrat
1698	aristocrat
1699	aristocrat
1700	aristocrat
1701	finance minister
1702	aristocrat
1703	aristocrat
1704	aristocrat
1705	aristocrat
1706	aristocrat
1707	aristocrat
1708	aristocrat
1709	general
1709	army officer
1709	soldier
1709	aristocrat
1709	government minister
1710	aristocrat
1712	aristocrat
1713	aristocrat
1714	aristocrat
1715	aristocrat
1715	governor
1715	musician
1715	officer
1716	aristocrat
1717	aristocrat
1718	aristocrat
1719	aristocrat
1720	daughter
1721	banker
1722	aristocrat
1723	aristocrat
1724	academy member
1724	physician
1724	doctor
1725	priest
1725	scholar
1726	aristocrat
1727	aristocrat
1728	mistress
1729	aristocrat
1730	aristocrat
1731	diplomat
1732	diplomat
1732	statesman
1733	author
1733	salon hostess
1734	aristocrat
1735	aristocrat
1735	salon hostess
1736	aristocrat
1736	salon hostess
1737	aristocrat
1738	aristocrat
1738	courtier
1739	aristocrat
1739	courtier
1740	aristocrat
1740	courtier
1741	aristocrat
1741	courtier
1742	aristocrat
1742	courtier
1742	writer
1743	aristocrat
1743	courtier
1744	aristocrat
1744	courtier
1745	aristocrat
1746	aristocrat
1747	aristocrat
1747	royal mistress
1748	aristocrat
1748	courtier
1749	aristocrat
1749	courtier
1750	aristocrat
1750	courtier
1751	aristocrat
1751	courtier
1753	scientist
1753	academy member
1754	clergy
1754	author
1754	novelist
1755	political economist
1755	philosopher
1756	economist
1756	author
1756	legal writer
1756	criminologist
1757	economist
1758	historian
1758	author
1758	playwright
1758	novelist
1759	politician
1759	bookbinder
1760	chemist
1761	mathematician
1761	laird
1762	statesman
1763	publicist
1763	lawyer
1763	jurist
1764	writer
1764	translator
1765	poet
1766	agronomist
1767	aristocrat
1768	physician to British embassy
1769	banker
1770	legal reformer
1770	politician
1771	aristocrat
1771	general
1772	playwright
1772	novelist
1772	actress
1777	politician
1777	government official
1777	lawyer
1778	government official
1778	writer
1779	priest
1780	aristocrat
1781	aristocrat
