SP ID	Wikipedia URL	EE ID	Full Name	Full Name Reversed	Particule?	Relationships	Clerical title	Religious Network	Royal Academy	Institut de France	Academy_single	Academiy_single_provincial	Encyclopedistes	Freemason	Jacobin	Société des Trente	Lodge	GenderGroup	Birth Date	Birth Year	Death Date	Death Year	Birth City	Birth Country	Death City	Death Country	LockeNet	ASmithNet	VoltaireNet	RousseauNet	D'AlembertNet	HumeNet	BenthamNet	Column6	Wikipedia Image Link	VIAF ID	VIAF URL	RecipientLetterCount by EE ID	AuthorLetterCount by EE ID	Total Letters	CNRS-D ID
1023	http://en.wikipedia.org/wiki/Claude-Henri_de_Fusée_de_Voisenon	fuzeeclaud001660	Claude Henri de Fuzée de Voisenon	"Fuzée de Voisenon, Claude Henri de"	Yes			Catholic_Clergy	Yes		Yes							Male	7/8/1708	1708	11/22/1775	1775	Paris	France	château de Voisenon	France	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/9/96/Voisenon_1.jpg	21146	http://viaf.org/21146	17	5	22	

1024	http://en.wikipedia.org/wiki/Bernard_le_Bovier_de_Fontenelle	lebovberna002231	Bernard Le Bovier de Fontenelle	"Le Bovier de Fontenelle, Bernard"	Yes				Yes									Male	1657-00-00	1657	1757-00-00	1757		France		unknown	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Fontenelle_2.jpg/220px-Fontenelle_2.jpg	99744686	http://viaf.org/99744686	1	0	1	

1025	http://en.wikipedia.org/wiki/Étienne_Bonnot_de_Condillac	bonnoetien000968	Étienne Bonnot de Condillac	"Bonnot de Condillac, Étienne"	Yes		abbé	Catholic_Clergy	Yes									Male	9/30/1715	1715	8/3/1780	1780	Grenoble	France		unknown	 	 	Voltaire	Rousseau	 	 	 		http://upload.wikimedia.org/wikipedia/commons/8/8b/Etienne_Bonnot_de_Condillac.jpg	9844868	http://viaf.org/9844868	2	2	4	

1026	"http://en.wikipedia.org/wiki/Georges-Louis_Leclerc,_Comte_de_Buffon"	leclegeorg002293	"Georges Louis Leclerc, comte de Buffon"	"Leclerc, Georges Louis, comte de Buffon"	Yes				Yes				Yes					Male	9/7/1707	1707	4/16/1788	1788	Montbard	France	Paris	France	 	 	Voltaire	Rousseau	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Buffon_1707-1788.jpg/220px-Buffon_1707-1788.jpg	36915547	http://viaf.org/36915547	1	3	4	Buffon

1027	http://en.wikipedia.org/wiki/Antoine_François_Prévost	prevoantoi002886	Antoine François Prévost d'Exiles	"Prévost d'Exiles, Antoine François"	Yes			Catholic_Clergy										Male	1697-00-00	1697	11/25/1763	1763	Hesdin	France	Courteuil	France	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/6/6e/Antoine_Fran%C3%A7ois_Pr%C3%A9vost.jpg	17228264	http://viaf.org/17228264	3	3	6	

1028		dupinlouis001435	Louise Marie Madeleine Dupin	"Dupin, Louise Marie Madeleine"														Female	1706-00-00	1706	1799-00-00	1799	Paris	France	Château de Chenonceau	France	 	 	Voltaire	Rousseau	 	 	 					31	3	34	

1029	http://en.wikipedia.org/wiki/%C3%89milie_du_Ch%C3%A2telet	letongabri002283	"Gabrielle Émilie Le Tonnelier de Breteuil, marquise Du Châtelet-Lomont"	"Le Tonnelier de Breteuil, Gabrielle Émilie, marquise Du Châtelet-Lomont"	Yes						Yes							Female	12/17/1706	1706	9/10/1749	1749	Paris	France	Lunéville	France	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/b/ba/Emilie_Chatelet_portrait_by_Latour.jpg	76345646	http://viaf.org/viaf/76345646/	46	474	520	

1030	http://en.wikipedia.org/wiki/Louis-Élisabeth_de_La_Vergne_de_Tressan	laverlouis001074	"Louis-Élisabeth de La Vergne, comte de Tressan"	"La Vergne, Louis Élisabeth de, comte de Tressan"	Yes				Yes				Yes					Male	11/4/1705	1705	10/31/1783	1783	Le Mans	France	Saint-Leu	France	 	 	Voltaire	Rousseau	 	 	 			7425031	http://viaf.org/7425031	34	12	46	Tressan

1031	http://en.wikipedia.org/wiki/François-Joachim_de_Pierre_de_Bernis	pierrfranc000887	"François Joachim de Pierres, cardinal de Bernis"	"Pierres, François Joachim de, cardinal de Bernis"	Yes		cardinal	Catholic_High-ranking officials	Yes				Yes					Male	5/22/1715	1715	11/3/1794	1794	Saint-Marcel-d'Ardèche	France	Rome	Italy	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/e/ea/Fran%C3%A7ois-Joachim_de_Pierre_de_Bernis.jpg	68925438	http://viaf.org/68925438	65	57	122	

1032	http://en.wikipedia.org/wiki/Gabriel_Bonnot_de_Mably	bonnogabri023333	Gabriel Bonnot de Mably	"Bonnot de Mably, Gabriel"	Yes		abbé	Catholic_Clergy										Male	1709-00-00	1709	1785-00-00	1785	Grenoble	France		unknown	 	 	 	Rousseau	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/8/80/Gabriel_Bonnot_de_Mably.jpg/225px-Gabriel_Bonnot_de_Mably.jpg	84557373	http://viaf.org/84557373	1	2	3	

1033			Guillaume d'Abbes	"Abbes, Guillaume d'"	Yes						Yes	Yes	Yes					Male					Bédarieux	France	Pézenas	France															

1034			Allard	Allard									Yes					Male																							

1035	https://fr.wikipedia.org/wiki/Antoine_Allut		Antoine Allut	"Allut, Antoine"				Protestant?			Yes	Yes	Yes					Male		1743		1794	Montpellier	France	Paris	France															

1036			Antoine-Joseph Desallier d'Argenville	"Argenville, Antoine-Joseph Desallier d'"	Yes								Yes					Male		1680		1765	Paris	France	Paris	France															

1037			Louis-Roch-Antoine-Charles Arnauld?	"Arnauld, Louis-Roch-Antoine-Charles"									Yes					Male		1703		1779	Senlis	France	Senlis	France															

1038			Arnolphe d'Aumont	"Aumont, Arnolphe d'"	Yes								Yes					Male		1721		1800	Grenoble	France	Valence?	France															

1039			Charles-Louis d'Authville Des Amourettes	"Authville Des Amourettes, Charles-Louis d'"	Yes								Yes					Male		1716			Paris	France																	

1040			Guillaume Barthez de Marmorières	"Barthez de Marmorières, Guillaume"	Yes						Yes		Yes					Male		1707		1799	Narbonne	France	Narbonne	France															

1041			Jacques-Nicolas Bellin	"Bellin, Jacques-Nicolas"									Yes					Male		1703		1772	Paris	France	Versailles	France															

1042			Jacques-François Blondel	"Blondel, Jacques-François"					Yes		Yes		Yes					Male		1705		1774	Rouen	France	Paris	France															

1043			Théophile de Bordeu	"Bordeu, Théophile de"	Yes				Yes		Yes		Yes					Male		1722		1776	Izeste	France	Paris	France															

1044			Mathieu-Antoine Bouchaud	"Bouchaud, Mathieu-Antoine"						Yes			Yes					Male		1719		1804	Paris	France	Paris	France															

1045			Antoine-Gaspard Boucher d'Argis	"Boucher d'Argis, Antoine-Gaspard"	Yes						Yes	Yes	Yes					Male		1708		1791	Lyon	France	Paris	France															

1046	https://en.wikipedia.org/wiki/%C3%89tienne_Jean_Bouchu		Étienne-Jean Bouchu	"Bouchu, Étienne-Jean"									Yes					Male		1714		1773	Langres	France	Arc-en-Barrois	France															

1047	https://fr.wikipedia.org/wiki/Jean_Bouillet		Jean Bouillet	"Bouillet, Jean"									Yes					Male		1690		1777	Servian	France	Béziers	France															

1048	https://fr.wikipedia.org/wiki/Jean-Henri-Nicolas_Bouillet		Jean-Henri-Nicolas Bouillet	"Bouillet, Jean-Henri-Nicolas"									Yes					Male		1729		1790	Béziers	France	Béziers	France															

1049			Antoine-Joseph Brisson	"Brisson, Antoine-Joseph"									Yes					Male		1728			Paris	France																	

1050			Brullé	Brullé									Yes					Male																							

1051			Jean-François-Henry Collot	"Collot, Jean-François-Henry"									Yes					Male		1716		1804	Pont d'Arches	France	Châlons-sur-Marne	France															

1052			De Compt	"Compt, de"			curé	Catholic_Clergy					Yes					Male																							

1053			Louis-Jean-Marie Daubenton	"Daubenton, Louis-Jean-Marie"					Yes	Yes			Yes					Male		1716		1800	Montbard	France	Paris	France															

1054			Pierre Daubenton	"Daubenton, Pierre"									Yes					Male		1703		1776	Montbard	France	Montbard	France															

1055			Michel-Antoine David	"David, Michel-Antoine"									Yes					Male		1707		1769	Paris	France	Paris	France															

1056			Jacques Philippe-Augustin Douchet	"Douchet, Jacques Philippe-Augustin"									Yes					Male					Arras	France																	

1057			Dufour	Dufour									Yes					Male																							

1058			Nicolas Luton Durival	"Durival, Nicolas Luton"									Yes					Male		1713		1795	Commercy	France	Heillecourt	France															

1059			Marc-Antoine Eidous	"Eidous, Marc-Antoine"									Yes					Male		1710			Marseille	France																	

1060			Joachim Faiguet de Villeneuve	"Faiguet de Villeneuve, Joachim"	Yes								Yes					Male		1703		1780	Moncontour	France																	

1061			François Véron de Fortbonnais	"Fortbonnais, ou Forbonnais, François Véron de"	Yes					Yes			Yes					Male		1722		1800	Le Mans	France	Paris	France															

1062			Henri Fouquet	"Fouquet, Henri"									Yes					Male		1727		1806	Montpellier	France	Montpellier	France															

1063			Genson	Genson									Yes					Male		1750		1777																			

1064			Louis-Jacques Goussier	"Goussier, Louis-Jacques"									Yes					Male		1722		1799	Paris	France	Paris	France															

1065			Philibert Gueneau de Montbeillard	"Gueneau de Montbeillard, Philibert"	Yes								Yes					Male		1720		1785	Semur-en-Auxois	France	Semur-en-Auxois	France															

1066			François Jacques Guillotte	"Guillotte, François Jacques"									Yes					Male				1766			Paris	France															

1067			Jean-Étienne Ligenza Kurdwanowski	"Kurdwanowski, Jean-Étienne Ligenza"									Yes					Male		1680		1780	Radzanôw	Poland	Lunéville	France															

1068			La Bassée	La Bassée									Yes					Male																							

1069			Jean-Baptiste de La Chapelle	"La Chapelle, abbé Jean-Baptiste de"	Yes		abbé	Catholic_Clergy					Yes					Male																							

1070			Antoine-Claude-Pierre Masson de La Motte Conflans	"Masson de La Motte Conflans, Antoine-Claude-Pierre"	Yes						Yes	Yes	Yes					Male		1727		1801	Vertus	France	Vertus	France															

1071			Paul Landois	"Landois, Paul"									Yes					Male					Paris	France																	

1072			Guillaume Le Blond	"Le Blond, Guillaume"									Yes					Male		1707		1781	Paris	France	Versailles	France															

1073			André Lefebvre	"Lefebvre, André"									Yes					Male		1718		1768	Troyes	France	Paris	France															

1074	https://en.wikipedia.org/wiki/Louis-Guillaume_Le_Monnier		Louis-Guillaume Le Monnier	"Le Monnier, Louis-Guillaume"					Yes	Yes			Yes					Male		1717		1799	Paris	France	Montreuil	France															

1075			Jean-Baptiste-Pierre Le Romain	"Le Romain, Jean-Baptiste-Pierre"									Yes					Male																							

1076			Charles Le Roy	"Le Roy, Charles"									Yes					Male		1726		1779	Paris	France	Paris	France															

1077			"Claude-François- Adrien, marquis de Lezay-Marnésia"	"Lezay-Marnésia, Claude-François- Adrien, marquis de"									Yes					Male																							

1078	https://en.wikipedia.org/wiki/Antoine_Louis		Antoine Louis	"Louis, Antoine"									Yes					Male		1723		1792	Metz	France	Paris	France															

1079			J.R. Lucotte	"Lucotte, J.R."									Yes					Male																							

1080			Magimel	Magimel									Yes					Male					Paris	France																	

1081			Edme-François Mallet 	"Mallet, abbé Edme-François"			abbé	Catholic_Clergy					Yes					Male		1713		1755	Melun	France	Châteaurenard	France															

1082			Paul-Jacques Malouin	"Malouin, Paul- Jacques"									Yes					Male		1701		1778	Caen	France	Versailles	France															

1083			Charles Millot	"Millot, Charles"			curé	Catholic_Clergy					Yes					Male		1717		1769			Brabant-le-Roi	France															

1084			Monnoye	Monnoye									Yes					Male																							

1085			Didier-François d'Ardais de Montamy	"Montamy, Didier-François d'Ardais de"	Yes								Yes					Male		1702		1765	Caen	France	Paris	France															

1086			Antoine Gautier de Montdorge	"Montdorge, Antoine Gautier de"	Yes								Yes					Male		1701		1768	Lyon	France	Paris	France															

1087			Jean-Denis de Montlovier	"Montlovier, Jean-Denis de"	Yes								Yes					Male		1733		1804	Valence	France	Dagues	France															

1088			Sauveur-François Morand	"Morand, Sauveur-François"									Yes					Male		1695		1773	Paris	France	Paris	France															

1089			Louis Necker de Germanie	"Necker de Germanie, Louis"	Yes								Yes					Male		1730		1804	Gevena	Switzerland	Gevena	Switzerland															

1090			Michal Kazimierz Oginsky	"Oginsky, Michal Kazimierz"									Yes					Male		1728		1800	Warsaw	Poland	Warsaw	Poland															

1091			Paillasson	Paillasson									Yes					Male				1789																			

1092			Jean-Baptiste Michel Papillon	"Papillon, Jean-Baptiste Michel"									Yes					Male		1698		1776	Paris	France	Paris	France															

1093			Jean-Baptiste Paris de Meysieu	"Paris de Meysieu, Jean-Baptiste"	Yes								Yes					Male		1718		1778	Paris	France	Paris	France															

1094			Antoine Penchenier	"Penchenier, Antoine"									Yes					Male				1761			Montélimar	France															

1095			Jean Pestré	"Pestré, abbé Jean"			abbé	Catholic_Clergy					Yes					Male		1723		1821	Saint-Geniez d'Olt	France	Paris	France															

1096			Antoine Petit	"Petit, Antoine"									Yes					Male		1722		1794	Orléans	France	Orléans	France															

1097			"Prades, abbé Jean Martin de"	"Prades, abbé Jean Martin de"	Yes			Catholic_Clergy					Yes					Male																							

1098			Rallier Des Ourmes	Rallier Des Ourmes									Yes					Male		1701		1771	Vitré	France	Vitré	France															

1099			Didier Robert De Vaugondy	"Robert De Vaugondy, Didier"	Yes								Yes					Male		1723		1786	Paris	France	Paris	France															

1100			Jean Romilly	"Romilly, Jean"									Yes					Male		1714		1794																			

1101			Antoine de Seguiran	"Seguiran, Antoine de"	Yes								Yes					Male																							

1102			Pierre Augustin Boissier de la Croix de Sauvages	"Sauvages, abbé Pierre Augustin Boissier de la Croix de"	Yes		abbé	Catholic_Clergy					Yes					Male		1710		1795	Aies	France	Aies	France															

1103	https://en.wikipedia.org/wiki/Pierre_Soubeyran		Pierre Soubeyran	"Soubeyran, Pierre"									Yes					Male		1709		1775	Genevra	Switzerland	Genevra	Switzerland															

1104			Pierre Tarin	"Tarin, Pierre"									Yes					Male		1721		1793	Courtenay	France	Courtenay	France															

1105			Thomas	Thomas									Yes					Male																							

1106			Urbain de Vandenesse	"Vandenesse, Urbain de"	Yes								Yes					Male				1753																			

1107			Gabriel-François Venel	"Venel, Gabriel-François"									Yes					Male		1723		1775	Tourbes	France	Montpellier	France															

1108			"Villiers, Jacques-François de"	"Villiers, Jacques-François de"	Yes								Yes					Male		1727		1790	Saint-Maixent	France	Paris	France															

1109			Vineras	Vineras									Yes					Male																							

1110			"Voglïe, Jean de"	"Voglïe, Jean de, appelé aussi Jean Bentivoglio"	Yes								Yes					Male		1723		1777																			

1111	https://en.wikipedia.org/wiki/Pierre-Jacques_Willermoz		Pierre-Jacques Willermoz	"Willermoz, Pierre-Jacques"									Yes					Male		1735		1799	Lyon	France	Lyon	France															

1112			abbé Claude Yvon	"Yvon, abbé Claude"			abbé	Catholic_Clergy					Yes					Male		1714		1791	Mamers	France	Paris	France															

1113	https://en.wikipedia.org/wiki/Nicolas_Lenglet_Du_Fresnoy	lenglnicol002315	Nicolas Lenglet Du Fresnoy	"Lenglet Du Fresnoy, Nicolas"	Yes		abbé	Catholic_Clergy					Yes					Male	10/5/1674	1674	1/16/1755	1755	Beauvais	France	Paris	France	 	 	Voltaire	 	 	 	 			100003543	http://viaf.org/100003543	0	1	1	

1114	http://en.wikipedia.org/wiki/César_Chesneau_Dumarsais	chesncesar000631	César Chesneau Dumarsais	"Chesneau Dumarsais, César"									Yes					Male	7/17/1676	1676	6/11/1756	1756	Marseilles	France	Paris	France	 	 	Voltaire	 	 	 	 			46760279	http://viaf.org/46760279	1	1	2	

1115	http://en.wikipedia.org/wiki/François_Quesnay	quesnfranc025341	François Quesnay	"Quesnay, François"					Yes				Yes					Male	6/4/1694	1694	12/16/1774	1774	Merey	France	Versailles	France	 	 	 	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/6/64/Fran%C3%A7ois_Quesnay_02.jpg	7428836	http://viaf.org/7428836	0	0	0	Quesnay

1116	http://en.wikipedia.org/wiki/Charles_Marie_de_La_Condamine	laconcharl001037	Charles Marie de La Condamine	"La Condamine, Charles Marie de"	Yes				Yes				Yes					Male	1/28/1701	1701	2/4/1774	1774	Paris	France	Paris	France	 	 	Voltaire	Rousseau	D'Alembert	 	 		upload.wikimedia.org/wikipedia/commons/thumb/3/36/Charles_Marie_de_La_Condamine_1701-1774.jpg/280px-Charles_Marie_de_La_Condamine_1701-1774.jpg	14772060	http://viaf.org/14772060	14	21	35	La Condamine

1117	http://en.wikipedia.org/wiki/Jean-Rodolphe_Perronet	perrojeanr002800	Jean-Rodolphe Perronet	"Perronet, Jean-Rodolphe"					Yes				Yes					Male	1708-00-00	1708	1794-00-00	1794	Suresnes	France	Paris	France	 	 	Voltaire	 	D'Alembert	 	 		upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Jean-Rodolphe_Perronet.jpg/220px-Jean-Rodolphe_Perronet.jpg	14798553	http://viaf.org/14798553	3	0	3	Perronet

1118	http://en.wikipedia.org/wiki/Andr%C3%A9_le_Breton		André-François Le Breton	"Le Breton, André-François"									Yes					Male	1708-00-00	1708	1779-00-00	1779	Paris	 France	Paris	 France	 	 	 	 	D'Alembert	 	 			73936729	http://viaf.org/73936729	0	0	0	Le Breton

1119	http://en.wikipedia.org/wiki/Charles_de_Brosses	brosscharl000917	"Charles de Brosses, baron de Montfalcon"	"Brosses, Charles de, baron de Montfalcon"	Yes				Yes				Yes					Male	2/7/1709	1709	5/7/1777	1777	Dijon	France	Paris	France	 	 	Voltaire	Rousseau	 	 	 		http://upload.wikimedia.org/wikipedia/commons/5/56/Charles_de_Brosses_-_Charles_Nicolas_Cochin_II.jpeg	59079671	http://viaf.org/viaf/59079671/	54	52	106	

1120	http://en.wikipedia.org/wiki/Claude_Bourgelat	bourgclaud000388	Claude Bourgelat	"Bourgelat, Claude"					Yes				Yes					Male	3/27/1712	1712	1/3/1779	1779	Lyons	France	Paris	France	 	 	Voltaire	 	D'Alembert	 	 		upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Bourgelat.png/220px-Bourgelat.png	41870201	http://viaf.org/41870201	3	5	8	Bourgelat

