SP ID	Source	EgoNetworksCombined	Wikipedia URL	EE ID	Full Name	Full Name Reversed	Particule?	Occupation	Political rank	Military rank	Relationships	Aristo title	Clerical title	Knowledge Network	Social Network	Professional Network	Religious Network	Academies	Royal Academy	Institut de France	Academy_single	Academiy_single_provincial	Salons	Encyclopedistes	Freemason	Jacobin	Société des Trente	Lodge	GenderGroup	Nationality	Birth Date	Birth Year	Death Date	Death Year	Birth City	Birth Country	Death City	Death Country	LockeNet	ASmithNet	VoltaireNet	RousseauNet	D'AlembertNet	HumeNet	BenthamNet	Column6	Wikipedia Image Link	VIAF ID	VIAF URL	RecipientLetterCount by EE ID	AuthorLetterCount by EE ID	Total Letters	CNRS-D ID
1010	SP	Deffand			Marie Anne Harenc	"Harenc, Mme Marie Anne"		wife of a banker							Elite?								Deffand						Female	French																							
1011	SP	"Lespinasse, Deffand"	http://fr.wikipedia.org/wiki/Gaston_Pierre_de_Lévis-Mirepoix		Monsieur de Mirepoix (Gaston Pierre de Lévis-Mirepoix)	"Mirepoix, Gaston Pierre de Lévis-Mirepoix (Monsieur de Mirepoix)"	Yes	aristocrat							"Nobility, Military, Elite"								"Deffand_SaintJoseph, Lespinasse"						Male	French	12/2/1699	1699	9/24/1757	1757	Belleville	France	Montpellier	France															
1012	SP	Deffand	"http://en.wikipedia.org/wiki/Nicholas_Taaffe,_6th_Viscount_Taaffe"		Lord Taaffe - Are we sure Lord Taaffe is Nicolas Taaffe?	"Taaffe, Lord"		aristocrat							"Nobility, Elite, Military, Court"								Deffand_SaintJoseph						Male	Irish?																							
1013	SP	Deffand			François de Crussol d'Uzès d'Amboise	"d'Usés d'Ambroise, François de Crussol "	Yes	archevêque de Toulouse					archevêque		"Nobility, Elite "		Catholic_High-ranking officials						Deffand_SaintJoseph						Male	French																							
1014	SP	Deffand	http://en.wikipedia.org/wiki/Pierre_Simon_Fournier		Pierre Simon Fournier	"Fournier, Pierre Simon"								"Letters_Literary, Collector"	Elite	"Artisan, Publishing"							Deffand_SaintJoseph						Male	French	1712-09-15	1712	1768-10-08	1768	Paris	France												44406033	https://viaf.org/viaf/44406033/				
1015	"EE, CNRS-D"	"D'Alembert, Deffand, Lespinasse, Geoffrin"	http://en.wikipedia.org/wiki/Jeanne_Julie_Éléonore_de_Lespinasse	lespijeann001102	Jeanne Julie Éléonore de Lespinasse	"Lespinasse, Jeanne Julie Éléonore de"	Yes	salon hostess						Letters_Literary	Elite								"Deffand, Lespinasse, Geoffrin"						Female	French	11/9/1732	1732	5/23/1776	1776	Lyons	France	Paris	France	 	 	 	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/8/86/Julie_de_Lespinasse.jpg	4932664	http://viaf.org/4932664	3	8	11	Lespinasse
1016	EE	Dupin		hervecarol005424	Lady Caroline Hervey	"Hervey, Lady Caroline"		aristocrat							"Nobility, Elite, Court"								Dupin						Female	English	1736-00-00	1736	1819-00-00	1819		England		unknown	 	 	 	 	 	 	 					1	0	1	
1017	EE	"Voltaire, Dupin"	"http://en.wikipedia.org/wiki/Philippe_II,_Duke_of_Orléans"	philippeii002818	"Philippe II, duc d'Orléans"	"Philippe II, duc d'Orléans"	Yes	"aristocrat,regent"				duc			"Nobility, Government, Military, Elite"								Dupin						Male	French	8/2/1674	1674	12/23/1723	1723		France		unknown	 	 	Voltaire	 	 	 	 			71395774	http://viaf.org/71395774	1	2	3	
1018	EE	"Voltaire, Lambert, Dupin"	http://en.wikipedia.org/wiki/Pierre-Joseph_Thoulier_d'Olivet	thoulpierr003318	Pierre Joseph Thoulier d'Olivet	"Thoulier d'Olivet, Pierre Joseph"	Yes	"academy member,grammarian"					abbé	Letters_Literary	"Nobility, Elite "	Cultural	Catholic_Clergy	French Academy	Yes		Yes		"Lambert, Dupin"						Male	French	4/1/1682	1682	10/8/1768	1768	Salins-les-Bains	France	Paris	France	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/c/c2/L%27abb%C3%A9_d%27Olivet_after_Carle_van_Loo.jpg/220px-L%27abb%C3%A9_d%27Olivet_after_Carle_van_Loo.jpg	99337414	http://viaf.org/99337414	54	20	74	
1019	"EE, CNRS-D"	"Voltaire, D'Alembert"	http://en.wikipedia.org/wiki/Pierre_Louis_Maupertuis	maupepierr001126	Pierre Louis Moreau de Maupertuis	"Maupertuis, Pierre Louis Moreau de"	Yes	"academy member,scientist,astronomer,mathematician,biologist"						"Sciences_Natural, Sciences_Mathematical, Sciences, Letters_Philosophical"	Elite	Cultural		"Royal Society, Académie des sciences, French Academy, Berlin Academy, St Petersburg Academy, Royal Swedish Academy"	Yes				"Geoffrin, Richelieu_Arcueil, Graffigny_SaintAntoine, Graffigny_dEnfer, Dupin"						Male	French	7/17/1698	1698	7/27/1759	1759	Saint-Malo	France	Basle	Switzerland	 	 	Voltaire	 	D'Alembert	 	 		upload.wikimedia.org/wikipedia/commons/2/20/PierreLouisMaupertuis.jpg	95152459	http://viaf.org/95152459	148	12	160	Maupertuis
1020	EE	Dupin	http://en.wikipedia.org/wiki/Mary_Hervey	hervemary0004630	"Mary Hervey, Baroness Hervey"	"Hervey, Mary, Baroness Hervey"		"courtier,aristocrat"							"Nobility, Court, Elite"								Dupin						Female	English	9/26/1700	1700	9/2/1768	1768		England		unknown	 	 	 	 	 	 	 					0	4	4	
1021	EE	Dupin	http://en.wikipedia.org/wiki/George_Berkeley	berkegeorg000261	"George Berkeley, bishop of Cloyne"	"Berkeley, George, bishop of Cloyne"		"churchman,philosopher"						Letters_Philosophical	Elite		Clergy						"Dupin, Bolingbroke"						Male	Irish	3/12/1685	1685	1/14/1753	1753	near Dysert Castle	Ireland	Oxford	England	 	 	 	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/5/5d/John_Smibert_-_Bishop_George_Berkeley_-_Google_Art_Project.jpg/220px-John_Smibert_-_Bishop_George_Berkeley_-_Google_Art_Project.jpg	100192823	http://viaf.org/100192823	1	3	4	
1022	EE	"Voltaire, Dupin, Bolingbroke, Entresol, Tencin"	"http://en.wikipedia.org/wiki/Henry_St_John,_1st_Viscount_Bolingbroke"	stjohhenry003215	"Henry St John, 1st Viscount Bolingbroke"	"St John, Henry, 1st Viscount Bolingbroke"		"diplomat,politician,author"	diplomat					"Letters_Literary, Letters"	"Government, Nobility, Elite"								"Dupin, Bolingbroke, Entresol, Tencin"						Male	English	9/16/1678	1678	12/12/1751	1751	Wiltshire	England	London	England	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/e/ed/1stViscountBolingbroke.jpg/250px-1stViscountBolingbroke.jpg	61539796	http://viaf.org/61539796	18	52	70	
1023	EE	"Voltaire, Dupin, Graffigny, Quinault, Epinay"	http://en.wikipedia.org/wiki/Claude-Henri_de_Fusée_de_Voisenon	fuzeeclaud001660	Claude Henri de Fuzée de Voisenon	"Fuzée de Voisenon, Claude Henri de"	Yes	"academy member,churchman"						Letters_Literary	"Elite, Nobility"	Cultural	Catholic_Clergy	French Academy	Yes		Yes		"Dupin, Graffigny, Quinault, Epinay"						Male	French	7/8/1708	1708	11/22/1775	1775	Paris	France	château de Voisenon	France	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/9/96/Voisenon_1.jpg	21146	http://viaf.org/21146	17	5	22	
1024	EE	"Voltaire, Dupin, Graffigny, Tencin, Geoffrin, Deffand"	http://en.wikipedia.org/wiki/Bernard_le_Bovier_de_Fontenelle	lebovberna002231	Bernard Le Bovier de Fontenelle	"Le Bovier de Fontenelle, Bernard"	Yes	"academy member,poet,author,philosopher"						"Letters_Literary, Letters_Philosophical, Sciences"	"Elite, Nobility"	"Artist, Cultural"		"French Academy, Académie des sciences, Academy of Inscriptions, Royal Society, Academy of Stanislas, Academy of Rouen"	Yes				"Dupin, Graffigny, Tencin, Geoffrin, Deffand"						Male	French	1657-00-00	1657	1757-00-00	1757		France		unknown	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Fontenelle_2.jpg/220px-Fontenelle_2.jpg	99744686	http://viaf.org/99744686	1	0	1	
1025	EE	"Voltaire, Rousseau, Dupin, Lespinasse, Geoffrin, Holbach"	http://en.wikipedia.org/wiki/Étienne_Bonnot_de_Condillac	bonnoetien000968	Étienne Bonnot de Condillac	"Bonnot de Condillac, Étienne"	Yes	philosopher					abbé	Letters_Philosophical			Catholic_Clergy	"French Academy, Academy of Lyon"	Yes				"Dupin, Lespinasse, Geoffrin, Holbach"						Male	French	9/30/1715	1715	8/3/1780	1780	Grenoble	France		unknown	 	 	Voltaire	Rousseau	 	 	 		http://upload.wikimedia.org/wikipedia/commons/8/8b/Etienne_Bonnot_de_Condillac.jpg	9844868	http://viaf.org/9844868	2	2	4	
1026	"EE, CNRS-D, Kafker"	"Voltaire, Rousseau, Encyclopedistes, Dupin, Necker, Lespinasse, Holbach"	"http://en.wikipedia.org/wiki/Georges-Louis_Leclerc,_Comte_de_Buffon"	leclegeorg002293	"Georges Louis Leclerc, comte de Buffon"	"Leclerc, Georges Louis, comte de Buffon"	Yes	"academy member,scientist,author,naturalist"				comte		"Letters_Literary, Sciences_Natural, Sciences_Mathematical"	"Nobility, Elite, Government"	Cultural		"French Academy, Royal Society, Académie des sciences, Royal_Society_Edinburgh, Academy of Stanislas, Académie d'agriculture, Academy of Dijon"	Yes				"Dupin, Necker, Lespinasse, Holbach"	Yes					Male	French	9/7/1707	1707	4/16/1788	1788	Montbard	France	Paris	France	 	 	Voltaire	Rousseau	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Buffon_1707-1788.jpg/220px-Buffon_1707-1788.jpg	36915547	http://viaf.org/36915547	1	3	4	Buffon
1027	EE	"Voltaire, Dupin, Tencin"	http://en.wikipedia.org/wiki/Antoine_François_Prévost	prevoantoi002886	Antoine François Prévost d'Exiles	"Prévost d'Exiles, Antoine François"	Yes	"journalist,author,novelist"						Letters_Literary	Elite	"Artist, Cultural"	Catholic_Clergy						"Dupin, Tencin"						Male	French	1697-00-00	1697	11/25/1763	1763	Hesdin	France	Courteuil	France	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/6/6e/Antoine_Fran%C3%A7ois_Pr%C3%A9vost.jpg	17228264	http://viaf.org/17228264	3	3	6	
1028	EE	"Voltaire, Rousseau, Dupin, Tencin"		dupinlouis001435	Louise Marie Madeleine Dupin	"Dupin, Louise Marie Madeleine"		financier's wife						Letters	Elite								"Dupin, Tencin"						Female	French	1706-00-00	1706	1799-00-00	1799	Paris	France	Château de Chenonceau	France	 	 	Voltaire	Rousseau	 	 	 					31	3	34	
1029	EE	"Voltaire, Deffand, Dupin, Tencin, Chatelet"	http://en.wikipedia.org/wiki/%C3%89milie_du_Ch%C3%A2telet	letongabri002283	"Gabrielle Émilie Le Tonnelier de Breteuil, marquise Du Châtelet-Lomont"	"Le Tonnelier de Breteuil, Gabrielle Émilie, marquise Du Châtelet-Lomont"	Yes	"scientist,aristocrat"				marquise		"Sciences_Mathematical, Sciences"	"Elite, Nobility"			Academy of Stanislas			Yes		"Dupin, Tencin, Chatelet, Deffand_Beaune"						Female	French	12/17/1706	1706	9/10/1749	1749	Paris	France	Lunéville	France	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/b/ba/Emilie_Chatelet_portrait_by_Latour.jpg	76345646	http://viaf.org/viaf/76345646/	46	474	520	
1030	"EE, CNRS-D, Kafker"	"Voltaire, Rousseau, Encyclopedistes"	http://en.wikipedia.org/wiki/Louis-Élisabeth_de_La_Vergne_de_Tressan	laverlouis001074	"Louis-Élisabeth de La Vergne, comte de Tressan"	"La Vergne, Louis Élisabeth de, comte de Tressan"	Yes	"general,army officer,soldier,scholar,academy member"		high-ranking_general		"comte, marquis"		"Letters_Literary, Sciences"	"Military, Court, Nobility, Elite"	"Artist, Cultural"		"French Academy, Académie des sciences, Academy of Stanislas, Académie lorraine des sciences, Royal Society"	Yes				"Dupin, Tencin"	Yes					Male	French	11/4/1705	1705	10/31/1783	1783	Le Mans	France	Saint-Leu	France	 	 	Voltaire	Rousseau	 	 	 			7425031	http://viaf.org/7425031	34	12	46	Tressan
1031	EE	"Voltaire, Encyclopedistes, Dupin, Tencin, Geoffrin"	http://en.wikipedia.org/wiki/François-Joachim_de_Pierre_de_Bernis	pierrfranc000887	"François Joachim de Pierres, cardinal de Bernis"	"Pierres, François Joachim de, cardinal de Bernis"	Yes	"diplomat,government minister"	minister				cardinal	Letters_Literary	"Elite, Government, Nobility"		Catholic_High-ranking officials	"French Academy, Academy of Inscriptions"	Yes				"Dupin, Tencin, Geoffrin"	Yes					Male	French	5/22/1715	1715	11/3/1794	1794	Saint-Marcel-d'Ardèche	France	Rome	Italy	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/e/ea/Fran%C3%A7ois-Joachim_de_Pierre_de_Bernis.jpg	68925438	http://viaf.org/68925438	65	57	122	
1032	EE	"Rousseau, Dupin, Tencin, Necker, Lespinasse"	http://en.wikipedia.org/wiki/Gabriel_Bonnot_de_Mably	bonnogabri023333	Gabriel Bonnot de Mably	"Bonnot de Mably, Gabriel"	Yes	"author,political writer"					abbé	"Letters_Literary, Political Economy, Letters_Philosophical"	Nobility		Catholic_Clergy						"Dupin, Tencin, Necker, Lespinasse"						Male	French	1709-00-00	1709	1785-00-00	1785	Grenoble	France		unknown	 	 	 	Rousseau	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/8/80/Gabriel_Bonnot_de_Mably.jpg/225px-Gabriel_Bonnot_de_Mably.jpg	84557373	http://viaf.org/84557373	1	2	3	
1033	Kafker	Encyclopedistes			Guillaume d'Abbes	"Abbes, Guillaume d'"	Yes	"writer,judge,academy member"						"Letters_Philosophical, Letters_Literary"	"Government, Nobility"	"Legal, Finance-banking"		Academy of Béziers			Yes	Yes		Yes					Male	French					Bédarieux	France	Pézenas	France															
1034	Kafker	Encyclopedistes			Allard	Allard		writer						Sciences_Natural										Yes					Male	French																							
1035	Kafker	Encyclopedistes	https://fr.wikipedia.org/wiki/Antoine_Allut		Antoine Allut	"Allut, Antoine"		"business man,jurist,politician"	député						Government	"Artisan, Legal, Finance-banking"	Protestant?	Société royale des Sciences de Montpellier			Yes	Yes		Yes					Male	French		1743		1794	Montpellier	France	Paris	France															
1036	Kafker	Encyclopedistes			Antoine-Joseph Desallier d'Argenville	"Argenville, Antoine-Joseph Desallier d'"	Yes	"man of letters, judge"						"Letters_Literary, Letters_Philosophical"	Government	"Gardening-farming, Legal"		"Royal Society, Société royale des Sciences de Montpellier"						Yes					Male	French		1680		1765	Paris	France	Paris	France															
1037	Kafker	Encyclopedistes			Louis-Roch-Antoine-Charles Arnauld?	"Arnauld, Louis-Roch-Antoine-Charles"		writer on sport and hunting						Letters										Yes					Male	French		1703		1779	Senlis	France	Senlis	France															
1038	Kafker	Encyclopedistes			Arnolphe d'Aumont	"Aumont, Arnolphe d'"	Yes	"doctor,professor"	officier municipal					Sciences_Medicine	"Elite, Government"	"Medical, Education"		"Valence, Montpellier, Lyon"						Yes					Male	French		1721		1800	Grenoble	France	Valence?	France															
1039	Kafker	Encyclopedistes			Charles-Louis d'Authville Des Amourettes	"Authville Des Amourettes, Charles-Louis d'"	Yes	officer		"lieutenant-colonel, chef de bataillon, capitaine"				Letters	"Military, Nobility"									Yes					Male	French		1716			Paris	France																	
1040	Kafker	Encyclopedistes			Guillaume Barthez de Marmorières	"Barthez de Marmorières, Guillaume"	Yes	engineer						Sciences		Other		Société royale des Sciences de Montpellier			Yes			Yes					Male	French		1707		1799	Narbonne	France	Narbonne	France															
1041	Kafker	Encyclopedistes			Jacques-Nicolas Bellin	"Bellin, Jacques-Nicolas"		"geographer,functionary"						Sciences_Natural	Government	Martime		Académie royale de la Marine;Royal Society						Yes					Male	French		1703		1772	Paris	France	Versailles	France															
1042	"Kafker, Geoffrin"	"Encyclopedistes, Geoffrin"			Jacques-François Blondel	"Blondel, Jacques-François"		"architect,man of letters,engraver,professor"						Letters_Literary		"Education, Architecture, Artist"		Académie royale d'architecture	Yes		Yes		Geoffrin_dinner	Yes					Male	French		1705		1774	Rouen	France	Paris	France															
1043	Kafker	Encyclopedistes			Théophile de Bordeu	"Bordeu, Théophile de"	Yes	"scholar,physician"						Sciences_Medicine		Medical		Académie des sciences	Yes		Yes			Yes					Male	French		1722		1776	Izeste	France	Paris	France															
1044	Kafker	Encyclopedistes			Mathieu-Antoine Bouchaud	"Bouchaud, Mathieu-Antoine"		"homme de lettres,lawyer,professor"						"Letters_Literary, Political Economy"	Elite	"Education, Legal"		"Academy of Inscriptions, Academy of Dijon, Académie des sciences, lettres et arts d'Arras, Société des observateurs de l'homme"		Yes				Yes					Male	French		1719		1804	Paris	France	Paris	France															
1045	Kafker	Encyclopedistes			Antoine-Gaspard Boucher d'Argis	"Boucher d'Argis, Antoine-Gaspard"	Yes	"jurist,laywer"						Political Economy	Government	Legal		Academy of Rouen			Yes	Yes		Yes					Male	French		1708		1791	Lyon	France	Paris	France															
1046	Kafker	Encyclopedistes	https://en.wikipedia.org/wiki/%C3%89tienne_Jean_Bouchu		Étienne-Jean Bouchu	"Bouchu, Étienne-Jean"		maîtres de forges						Sciences		Artisan		"Académie des sciences, Academy of Dijon"						Yes					Male	French		1714		1773	Langres	France	Arc-en-Barrois	France															
1047	Kafker	Encyclopedistes	https://fr.wikipedia.org/wiki/Jean_Bouillet		Jean Bouillet	"Bouillet, Jean"		"physician, professor"						Sciences_Medicine		"Medical, Education"		"Académie des sciences, Société de médecine de Montpellier"						Yes					Male	French		1690		1777	Servian	France	Béziers	France															
1048	Kafker	Encyclopedistes	https://fr.wikipedia.org/wiki/Jean-Henri-Nicolas_Bouillet		Jean-Henri-Nicolas Bouillet	"Bouillet, Jean-Henri-Nicolas"		"physician, professor"	consul-maire					Sciences_Medicine	Government	"Medical, Education"		"Académie des sciences, Academy of Béziers"						Yes					Male	French		1729		1790	Béziers	France	Béziers	France															
1049	Kafker	Encyclopedistes			Antoine-Joseph Brisson	"Brisson, Antoine-Joseph"		pensionnaire royal						"Letters, Political Economy"	Government	Legal		"Lyon, Villefranche et Berne"						Yes					Male	French		1728			Paris	France																	
1050	Kafker	Encyclopedistes			Brullé	Brullé		printing shop foreman						Letters		Publishing								Yes					Male	French																							
1051	Kafker	Encyclopedistes			Jean-François-Henry Collot	"Collot, Jean-François-Henry"		"commissaire des guerres, lawyer"						Political Economy	Military	Legal								Yes					Male	French		1716		1804	Pont d'Arches	France	Châlons-sur-Marne	France															
1052	Kafker	Encyclopedistes			De Compt	"Compt, de"		curé					curé	Letters			Catholic_Clergy							Yes					Male	French																							
1053	Kafker	Encyclopedistes			Louis-Jean-Marie Daubenton	"Daubenton, Louis-Jean-Marie"		"scholar,professor,government counselor"						Sciences_Natural	"Government, Elite"	Education		"Académie des sciences, Royal Society, Académie d'agriculture de France, Athénée de Paris, Société philomathique de Paris"	Yes	Yes				Yes					Male	French		1716		1800	Montbard	France	Paris	France															
1054	Kafker	Encyclopedistes			Pierre Daubenton	"Daubenton, Pierre"		"arborist,municipal functionary,government fucntionary,farmer"						Sciences_Natural	Government	Gardening-farming								Yes					Male	French		1703		1776	Montbard	France	Montbard	France															
1055	Kafker	Encyclopedistes			Michel-Antoine David	"David, Michel-Antoine"		bookseller						Letters		Publishing								Yes					Male	French		1707		1769	Paris	France	Paris	France															
1056	Kafker	Encyclopedistes			Jacques Philippe-Augustin Douchet	"Douchet, Jacques Philippe-Augustin"		"professor,lawyer"						Letters_Literary	Government	"Education, Legal"								Yes					Male	French					Arras	France																	
1057	Kafker	Encyclopedistes			Dufour	Dufour		encyclopediste						"Letters, Political Economy"										Yes					Male	French																							
1058	Kafker	Encyclopedistes			Nicolas Luton Durival	"Durival, Nicolas Luton"		"writer,local functionary"						"Letters_Literary, Political Economy"	Government			"Academy of Stanislas, Société royale des Sciences et Belles-Lettres de Nancy"						Yes					Male	French		1713		1795	Commercy	France	Heillecourt	France															
1059	Kafker	Encyclopedistes			Marc-Antoine Eidous	"Eidous, Marc-Antoine"		translator						"Sciences_Mathematical, Letters"	Military	Other								Yes					Male	French		1710			Marseille	France																	
1060	Kafker	Encyclopedistes			Joachim Faiguet de Villeneuve	"Faiguet de Villeneuve, Joachim"	Yes	"writer,merchant,functionary"							"Government, Court"	"Trade-merchant, Finance-banking"								Yes					Male	French		1703		1780	Moncontour	France																	
1061	Kafker	Encyclopedistes			François Véron de Fortbonnais	"Fortbonnais, ou Forbonnais, François Véron de"	Yes	"writer,ecoomist,businessman,royal functionary"						"Letters_Literary, Political Economy"	Government					Yes				Yes					Male	French		1722		1800	Le Mans	France	Paris	France															
1062	Kafker	Encyclopedistes			Henri Fouquet	"Fouquet, Henri"		"doctor,professor"						Sciences_Medicine		"Medical, Education"		"Académie des sciences, Société royale des sciences de Montpellier"						Yes					Male	French		1727		1806	Montpellier	France	Montpellier	France															
1063	Kafker	Encyclopedistes			Genson	Genson		blacksmith						Sciences	Court	Artisan								Yes					Male	French		1750		1777																			
